"part.number" , "label" , "free.position.mm" , "trigger.position.mm" , "bottom.position.mm"
"DB1C-A1LB"   , 1       , 14.95              , 12.15                 , 9.21
"DB1C-A1LB"   , 2       , 15.01              , 12.38                 , 9.20
"DB1C-A1LB"   , 3       , 14.97              , 12.34                 , 9.16
"DB1C-A1LB"   , 4       , 14.92              , 12.28                 , 9.25
"DB1C-A1LB"   , 5       , 14.80              , 12.35                 , 9.23
"DB1C-A1LB"   , 6       , 14.91              , 12.36                 , 9.20
"DB1C-A1LB"   , 7       , 14.98              , 12.36                 , 9.18
"DB1C-A1LB"   , 8       , 14.97              , 12.33                 , 9.15
"DB1C-A1LB"   , 9       , 14.92              , 12.35                 , 9.15
"DB1C-A1LB"   , 10      , 14.85              , 12.38                 , 9.20
